category,uid,mx,my,sx,sy,syx,sxy,b,corners
0,88,385.79403705777065,99.78403490872044,4.752150231455019,3.5604624059754473,0.0,0.0,2.0,"[381, 97, 381, 104, 393, 104, 394, 97]"
0,104,299.79403705777065,93.78403490872044,4.683297002945176,3.6293156344852893,0.0,0.0,2.0,"[295, 99, 304, 101, 307, 90, 298, 88]"
0,110,242.79403705777065,166.78403490872046,3.5771720868785395,4.735440550551926,0.0,0.0,2.0,"[237, 171, 250, 172, 251, 163, 238, 161]"
0,123,215.79403705777065,166.78403490872046,4.75177013769879,3.5608424997316757,0.0,0.0,2.0,"[223, 163, 211, 163, 211, 172, 224, 172]"
0,128,165.79403705777065,93.78403490872044,3.5652427459393383,4.747369891491128,0.0,0.0,2.0,"[161, 88, 162, 101, 172, 100, 171, 88]"
0,150,89.79403705777065,167.78403490872046,3.566368677803651,4.746243959626813,0.0,0.0,2.0,"[84, 172, 97, 173, 97, 165, 85, 164]"
0,159,61.79403705777066,167.78403490872046,4.749575015630504,3.5630376217999618,0.0,0.0,2.0,"[57, 165, 57, 172, 69, 171, 69, 164]"
2,94,507.7280178875521,217.9064364385627,5.66853510416848,5.508445000767968,0.0,0.0,4.0,"[513, 210, 501, 213, 504, 226, 516, 223]"
3,84,393.0815440263945,157.02994838859422,12.652853275942915,2.9530608556998255,0.0,0.0,2.0,"[373, 158, 415, 159, 415, 154, 373, 153]"
3,85,441.0815440263945,156.02994838859422,12.627415753828483,2.978498377814259,0.0,0.0,2.0,"[421, 156, 462, 158, 462, 154, 422, 152]"
3,89,369.0815440263945,43.029948388594235,3.0197691653558145,12.586144966286923,0.0,0.0,2.0,"[367, 60, 370, 60, 373, 24, 370, 24]"
3,90,440.0815440263945,67.02994838859424,2.95561656762262,12.65029756402012,0.0,0.0,2.0,"[442, 47, 439, 47, 440, 84, 443, 84]"
3,95,440.0815440263945,269.0299483885942,12.631215755883064,2.974698375759677,0.0,0.0,2.0,"[427, 266, 426, 269, 456, 270, 456, 268]"
3,105,298.0815440263945,73.02994838859424,3.0113074385491796,12.594606693093558,0.0,0.0,2.0,"[297, 85, 299, 85, 301, 58, 299, 58]"
3,106,364.0815440263945,55.029948388594235,2.9727922848397985,12.633121846802943,0.0,0.0,2.0,"[363, 40, 364, 69, 367, 69, 365, 40]"
3,111,234.08154402639454,239.02994838859422,2.9526064711629663,12.653307660479776,0.0,0.0,2.0,"[233, 220, 233, 257, 236, 257, 236, 220]"
3,112,301.0815440263945,268.0299483885942,12.65309356831796,2.952820563324782,0.0,0.0,2.0,"[291, 266, 291, 268, 312, 268, 312, 266]"
3,113,374.0815440263945,239.02994838859422,2.959130654486887,12.646783477155854,0.0,0.0,2.0,"[373, 256, 377, 256, 378, 220, 374, 220]"
3,132,102.08154402639454,50.029948388594235,2.9548068099527427,12.651107321689997,0.0,0.0,2.0,"[102, 68, 105, 68, 105, 30, 102, 30]"
3,144,230.08154402639454,13.029948388594232,12.645831846941126,2.9600822847016177,0.0,0.0,2.0,"[213, 10, 213, 12, 249, 13, 249, 11]"
3,151,155.08154402639454,207.02994838859422,2.953134702886783,12.652779428755956,0.0,0.0,2.0,"[155, 221, 157, 221, 157, 192, 155, 192]"
3,152,80.08154402639454,206.02994838859422,3.0229468027037636,12.582967328938974,0.0,0.0,2.0,"[78, 222, 81, 223, 84, 188, 81, 188]"
3,160,6.081544026394532,245.02994838859422,2.9539764524692105,12.65193767917353,0.0,0.0,2.0,"[9, 225, 6, 225, 6, 262, 10, 262]"
3,161,73.08154402639454,192.02994838859422,2.9546636543883147,12.651250477254425,0.0,0.0,2.0,"[73, 176, 73, 207, 76, 207, 75, 176]"
4,91,412.5602195437035,40.02509534837857,7.693957964351488,16.187800214607883,0.0,0.0,4.0,"[405, 20, 406, 61, 423, 61, 423, 20]"
4,92,396.5602195437035,40.02509534837857,7.695954194295634,16.185803984663742,0.0,0.0,4.0,"[389, 21, 390, 62, 406, 61, 405, 20]"
4,96,464.5602195437035,223.02509534837858,7.69307452367095,16.188683655288422,0.0,0.0,4.0,"[459, 242, 472, 242, 472, 206, 459, 205]"
4,107,326.5602195437035,43.02509534837857,7.721115926519634,16.160642252439736,0.0,0.0,4.0,"[318, 64, 335, 65, 337, 24, 320, 23]"
4,108,338.5602195437035,44.02509534837857,7.693833953104675,16.1879242258547,0.0,0.0,4.0,"[331, 65, 348, 65, 349, 24, 331, 24]"
4,114,319.5602195437035,239.02509534837858,7.704491698001802,16.17726648095757,0.0,0.0,4.0,"[328, 220, 313, 220, 314, 259, 330, 259]"
4,115,276.5602195437035,239.02509534837858,7.877231301416683,16.00452687754269,0.0,0.0,4.0,"[267, 259, 284, 261, 290, 221, 273, 219]"
4,116,260.5602195437035,239.02509534837858,7.720870517755232,16.160887661204143,0.0,0.0,4.0,"[252, 260, 269, 261, 271, 220, 254, 219]"
4,117,339.5602195437035,239.02509534837858,7.69276557232888,16.188992606630492,0.0,0.0,4.0,"[332, 220, 332, 261, 351, 261, 350, 220]"
4,124,218.5602195437035,217.02509534837858,7.703782998971532,16.177975179987843,0.0,0.0,4.0,"[227, 202, 211, 203, 212, 234, 229, 234]"
4,125,168.5602195437035,222.02509534837858,7.789591737169313,16.09216644179006,0.0,0.0,4.0,"[160, 234, 177, 236, 180, 211, 163, 210]"
4,133,27.560219543703514,58.02509534837857,16.189557637425544,7.692200541533827,0.0,0.0,4.0,"[7, 50, 7, 68, 50, 68, 50, 50]"
4,134,26.560219543703514,40.02509534837857,16.18528551737848,7.696472661580895,0.0,0.0,4.0,"[6, 49, 50, 50, 50, 33, 6, 32]"
4,145,240.5602195437035,52.02509534837857,7.69279873276384,16.188959446195536,0.0,0.0,4.0,"[252, 38, 233, 38, 233, 69, 252, 69]"
4,146,259.5602195437035,30.02509534837857,7.696482031029659,16.185276147929713,0.0,0.0,4.0,"[284, 23, 237, 24, 237, 40, 285, 39]"
4,153,124.56021954370351,234.02509534837858,7.692271249660825,16.18948692929855,0.0,0.0,4.0,"[117, 256, 135, 256, 135, 215, 117, 215]"
4,154,108.56021954370351,232.02509534837858,7.6921975309954655,16.189560647963905,0.0,0.0,4.0,"[101, 254, 118, 254, 118, 213, 101, 213]"
4,157,5.560219543703513,138.02509534837858,12.213269919288937,11.668488259670438,0.0,0.0,4.0,"[-11, 134, 12, 156, 24, 143, 1, 122]"
4,162,53.56021954370351,232.02509534837858,16.177090872206733,7.70466730675264,0.0,0.0,4.0,"[35, 225, 36, 241, 74, 240, 73, 224]"
4,163,49.56021954370351,214.02509534837858,16.174276901597,7.707481277362371,0.0,0.0,4.0,"[33, 206, 33, 222, 69, 224, 69, 208]"
6,164,8.7851365525917,245.43998617967353,2.9564175801187926,3.25896822843679,0.0,0.0,2.0,"[7, 250, 14, 252, 16, 244, 9, 242]"
