category,uid,mx,my,sx,sy,b,corners
0,7,509.79403705777065,173.78403490872046,3.5603266420109687,4.752285995419497,2.0,"[504, 168, 504, 180, 517, 180, 517, 168]"
0,20,387.79403705777065,100.78403490872044,4.752415582795354,3.5601970546351125,2.0,"[395, 97, 382, 97, 382, 104, 395, 104]"
0,39,165.79403705777065,94.78403490872044,3.5599990375762403,4.752613599854225,2.0,"[162, 88, 162, 102, 172, 101, 172, 88]"
0,53,217.79403705777065,168.78403490872046,4.752508843760856,3.5601037936696116,2.0,"[213, 173, 226, 174, 226, 165, 213, 164]"
0,60,244.79403705777065,168.78403490872046,4.7518628666976,3.5607497707328664,2.0,"[239, 164, 240, 174, 253, 174, 253, 163]"
0,70,301.79403705777065,94.78403490872044,3.5598299922803824,4.752782645150083,2.0,"[299, 101, 307, 101, 307, 89, 299, 89]"
0,77,61.79403705777066,167.78403490872046,4.752581472695974,3.560031164734492,2.0,"[57, 165, 57, 171, 70, 171, 70, 165]"
0,84,90.79403705777065,170.78403490872046,4.752576144777421,3.560036492653045,2.0,"[85, 167, 85, 175, 99, 175, 99, 167]"
2,5,510.7280178875521,217.9064364385627,5.250270422082829,5.92670968285362,4.0,"[505, 211, 505, 225, 517, 224, 516, 211]"
3,3,444.08217831635625,269.03604337329176,12.647974572586985,2.9611152162951013,2.0,"[430, 268, 430, 270, 460, 269, 460, 267]"
3,13,442.08217831635625,156.03604337329176,12.655223372375538,2.953866416506548,2.0,"[464, 152, 422, 153, 422, 158, 464, 157]"
3,14,394.08217831635625,157.03604337329176,12.655374458797995,2.953715330084093,2.0,"[374, 153, 374, 159, 416, 158, 416, 153]"
3,21,365.08217831635625,41.03604337329177,2.9549068448858904,12.654182943996199,2.0,"[365, 21, 366, 60, 368, 59, 367, 21]"
3,22,443.08217831635625,64.03604337329176,2.956603104537434,12.652486684344654,2.0,"[443, 44, 443, 82, 445, 82, 444, 44]"
3,28,103.08217831635623,46.03604337329177,2.952211852916148,12.65687793596594,2.0,"[105, 25, 102, 25, 102, 65, 105, 65]"
3,46,231.08217831635625,12.036043373291768,12.656144179268294,2.9529456096137934,2.0,"[213, 12, 250, 13, 250, 10, 213, 10]"
3,61,303.08217831635625,271.03604337329176,12.655514168837117,2.9535756200449694,2.0,"[295, 271, 314, 271, 314, 269, 295, 268]"
3,62,377.08217831635625,240.03604337329176,2.9596942477373043,12.64939554114478,2.0,"[376, 220, 377, 257, 380, 257, 379, 220]"
3,63,234.08217831635625,243.03604337329176,2.9529725555755624,12.656117233306526,2.0,"[233, 223, 234, 260, 237, 260, 237, 223]"
3,71,297.08217831635625,72.03604337329176,2.952211852916148,12.65687793596594,2.0,"[297, 84, 299, 84, 299, 58, 297, 58]"
3,72,363.08217831635625,56.03604337329177,2.9547358232888503,12.654353965593238,2.0,"[363, 42, 363, 68, 365, 68, 365, 42]"
3,76,73.08217831635623,191.03604337329176,2.95609216722364,12.65299762165845,2.0,"[72, 206, 76, 206, 76, 175, 73, 175]"
3,78,6.082178316356241,245.03604337329176,2.9548479713233013,12.654241817558788,2.0,"[4, 225, 5, 263, 9, 263, 8, 224]"
3,81,157.08217831635625,207.03604337329176,2.952211852916148,12.65687793596594,2.0,"[159, 193, 156, 193, 156, 220, 159, 220]"
3,85,79.08217831635623,210.03604337329176,2.953232094559818,12.655857694322268,2.0,"[78, 228, 82, 228, 83, 190, 79, 190]"
4,6,467.5601088329697,220.0226962706873,7.69380605068352,16.187557445413233,4.0,"[462, 203, 463, 239, 475, 239, 475, 202]"
4,15,11.560108832969744,136.0226962706873,7.69228811213978,16.189075383956972,4.0,"[7, 115, 7, 159, 19, 159, 19, 115]"
4,17,411.5601088329697,38.02269627068731,7.6965270799590755,16.184836416137678,4.0,"[404, 19, 405, 60, 423, 59, 422, 18]"
4,18,394.5601088329697,38.02269627068731,7.696383779840482,16.184979716256272,4.0,"[388, 19, 389, 60, 405, 60, 404, 18]"
4,25,27.560108832969743,59.02269627068731,16.187537265765283,7.693826230331476,4.0,"[7, 69, 51, 70, 51, 52, 7, 51]"
4,26,26.560108832969743,41.02269627068731,16.1891416460609,7.692221850035852,4.0,"[5, 33, 5, 50, 51, 50, 51, 33]"
4,35,149.56010883296975,45.02269627068731,16.187478913147096,7.693884582949658,4.0,"[131, 42, 131, 51, 170, 51, 170, 42]"
4,37,161.56010883296975,24.022696270687316,7.69218980951617,16.189173686580585,4.0,"[171, 10, 155, 10, 155, 41, 171, 41]"
4,43,241.56010883296975,53.02269627068731,7.69218980951617,16.189173686580585,4.0,"[234, 71, 252, 71, 252, 38, 234, 38]"
4,44,257.5601088329697,29.022696270687316,7.69218980951617,16.189173686580585,4.0,"[235, 38, 284, 38, 284, 21, 235, 21]"
4,48,194.56010883296975,32.02269627068731,16.184953016148743,7.6964104799480095,4.0,"[176, 26, 176, 41, 217, 40, 216, 26]"
4,50,219.56010883296975,217.0226962706873,7.694304657428205,16.18705883866855,4.0,"[229, 202, 212, 202, 213, 234, 229, 234]"
4,51,171.56010883296975,223.0226962706873,7.692733581682883,16.188629914413873,4.0,"[181, 211, 164, 211, 164, 236, 181, 236]"
4,55,278.5601088329697,242.0226962706873,7.696682784437654,16.184680711659098,4.0,"[271, 222, 271, 264, 289, 264, 288, 222]"
4,56,343.5601088329697,243.0226962706873,7.695743393823624,16.185620102273134,4.0,"[335, 223, 335, 264, 355, 264, 354, 223]"
4,57,324.5601088329697,242.0226962706873,7.69317178661421,16.188191709482545,4.0,"[318, 224, 319, 262, 334, 262, 334, 224]"
4,59,261.5601088329697,242.0226962706873,7.692511716166419,16.18885177993033,4.0,"[255, 263, 271, 263, 271, 223, 255, 223]"
4,67,338.5601088329697,40.02269627068731,7.693438035139889,16.187925460956865,4.0,"[331, 21, 332, 62, 349, 62, 349, 21]"
4,68,321.5601088329697,40.02269627068731,7.692221016908106,16.18914247918865,4.0,"[315, 20, 315, 61, 330, 61, 330, 20]"
4,73,50.560108832969746,213.0226962706873,16.188839702052423,7.692523794044331,4.0,"[33, 206, 33, 222, 72, 223, 72, 206]"
4,74,51.560108832969746,230.0226962706873,16.189173686580585,7.69218980951617,4.0,"[33, 223, 33, 239, 74, 239, 74, 223]"
4,82,125.56010883296975,234.0226962706873,7.692742386994031,16.188621109102726,4.0,"[135, 214, 119, 215, 119, 256, 136, 256]"
4,83,107.56010883296975,234.0226962706873,7.692791627101279,16.188571868995474,4.0,"[101, 256, 118, 256, 118, 215, 101, 214]"
4,87,152.56010883296975,201.0226962706873,7.692726162478086,16.18863733361867,4.0,"[150, 192, 150, 211, 157, 211, 157, 192]"
6,79,8.7851365525917,243.43998617967353,2.9458163260836834,3.2695694824718995,2.0,"[8, 241, 8, 249, 15, 249, 15, 241]"
7,16,10.600378574899972,146.47023770581131,5.494552493381238,3.8355183661121988,2.0,"[6, 151, 16, 151, 16, 144, 6, 144]"
