category,uid,mx,my,sx,sy,syx,sxy,b,corners
0,94,386.79403705777065,100.78403490872044,4.752411209278357,3.560201428152109,0.0,0.0,2.0,"[382, 104, 395, 104, 395, 98, 382, 97]"
0,110,300.79403705777065,94.78403490872044,4.6830079787423475,3.629604658688119,0.0,0.0,2.0,"[297, 99, 306, 101, 308, 91, 299, 88]"
0,115,243.79403705777065,166.78403490872046,3.577286237014486,4.735326400415979,0.0,0.0,2.0,"[239, 171, 251, 173, 252, 164, 240, 162]"
0,128,217.79403705777065,167.78403490872046,4.75225511180768,3.5603575256227855,0.0,0.0,2.0,"[213, 164, 213, 173, 225, 173, 225, 164]"
0,133,166.79403705777065,94.78403490872044,3.5648739497318567,4.747738687698609,0.0,0.0,2.0,"[162, 89, 163, 102, 173, 101, 172, 88]"
0,155,90.79403705777065,168.78403490872046,3.566411418034473,4.746201219395993,0.0,0.0,2.0,"[85, 173, 98, 174, 99, 166, 86, 165]"
0,164,62.79403705777066,168.78403490872046,4.752017952087013,3.560594685343453,0.0,0.0,2.0,"[70, 165, 58, 166, 58, 173, 70, 173]"
2,100,509.7280178875521,217.9064364385627,5.664053404705122,5.512926700231325,0.0,0.0,4.0,"[515, 210, 503, 213, 506, 226, 518, 223]"
3,90,394.0815440263945,157.02994838859422,12.65305174019416,2.9528623914485825,0.0,0.0,2.0,"[374, 159, 416, 159, 416, 154, 374, 154]"
3,91,442.0815440263945,156.02994838859422,12.627581198621028,2.9783329330217114,0.0,0.0,2.0,"[423, 156, 463, 158, 464, 154, 423, 152]"
3,95,370.0815440263945,43.029948388594235,3.0118298625523496,12.594084269090391,0.0,0.0,2.0,"[370, 24, 368, 60, 371, 60, 373, 24]"
3,96,441.0815440263945,67.02994838859424,2.9572112784475464,12.648702853195193,0.0,0.0,2.0,"[443, 47, 440, 47, 441, 84, 444, 84]"
3,101,443.0815440263945,269.0299483885942,12.64285098492151,2.9630631467212303,0.0,0.0,2.0,"[430, 269, 459, 270, 459, 268, 430, 267]"
3,111,298.0815440263945,73.02994838859424,3.016481706727582,12.589432424915158,0.0,0.0,2.0,"[299, 58, 297, 85, 299, 86, 301, 58]"
3,116,234.08154402639454,240.02994838859422,2.95317363210147,12.65274049954127,0.0,0.0,2.0,"[234, 257, 237, 257, 237, 221, 234, 221]"
3,117,302.0815440263945,268.0299483885942,12.652979952040727,2.9529341796020114,0.0,0.0,2.0,"[292, 266, 292, 269, 314, 269, 314, 266]"
3,118,376.0815440263945,240.02994838859422,2.9574101435213107,12.648503988121432,0.0,0.0,2.0,"[375, 257, 378, 257, 379, 220, 375, 220]"
3,137,103.08154402639454,50.029948388594235,2.9531490014361723,12.652765130206568,0.0,0.0,2.0,"[103, 31, 102, 69, 105, 69, 106, 31]"
3,149,231.08154402639454,13.029948388594232,12.644218346747206,2.9616957848955376,0.0,0.0,2.0,"[214, 13, 250, 14, 250, 11, 214, 10]"
3,156,80.08154402639454,207.02994838859422,2.982100624144597,12.623813507498143,0.0,0.0,2.0,"[79, 223, 82, 223, 83, 189, 81, 189]"
3,157,156.08154402639454,209.02994838859422,2.9541977833224413,12.6517163483203,0.0,0.0,2.0,"[156, 193, 155, 222, 158, 222, 158, 193]"
3,165,5.081544026394532,244.02994838859422,2.954479224766288,12.651434906876455,0.0,0.0,2.0,"[5, 225, 5, 261, 8, 262, 9, 225]"
3,166,73.08154402639454,193.02994838859422,2.9534548728983228,12.652459258744418,0.0,0.0,2.0,"[73, 177, 73, 208, 76, 208, 76, 177]"
4,97,413.5602195437035,40.02509534837857,7.6954905574118575,16.18626762154752,0.0,0.0,4.0,"[406, 20, 407, 61, 424, 61, 423, 20]"
4,98,396.5602195437035,41.02509534837857,7.697904738020212,16.18385344093916,0.0,0.0,4.0,"[390, 21, 391, 62, 407, 62, 406, 21]"
4,102,465.5602195437035,223.02509534837858,7.6924900903607645,16.18926808859861,0.0,0.0,4.0,"[461, 206, 461, 242, 474, 242, 474, 206]"
4,112,327.5602195437035,44.02509534837857,7.7227204528647375,16.159037726094635,0.0,0.0,4.0,"[322, 24, 319, 64, 336, 65, 338, 25]"
4,113,339.5602195437035,44.02509534837857,7.694038108016506,16.18772007094287,0.0,0.0,4.0,"[332, 65, 349, 66, 350, 25, 333, 25]"
4,119,321.5602195437035,239.02509534837858,7.704632538267317,16.177125640692058,0.0,0.0,4.0,"[314, 221, 316, 260, 331, 259, 330, 220]"
4,120,278.5602195437035,240.02509534837858,7.882650449971138,15.999107728988239,0.0,0.0,4.0,"[268, 259, 285, 262, 291, 222, 274, 219]"
4,121,261.5602195437035,240.02509534837858,7.719399414002314,16.16235876495706,0.0,0.0,4.0,"[253, 260, 270, 261, 273, 221, 256, 220]"
4,122,341.5602195437035,240.02509534837858,7.692497118202997,16.189261060756376,0.0,0.0,4.0,"[334, 221, 334, 261, 352, 261, 352, 221]"
4,129,219.5602195437035,218.02509534837858,7.699380096786786,16.18237808217259,0.0,0.0,4.0,"[229, 203, 212, 204, 213, 235, 229, 235]"
4,130,169.5602195437035,222.02509534837858,7.808294974222875,16.0734632047365,0.0,0.0,4.0,"[161, 234, 178, 236, 181, 212, 164, 210]"
4,138,28.560219543703514,58.02509534837857,16.189568377968833,7.692189800990544,0.0,0.0,4.0,"[8, 68, 51, 68, 51, 50, 8, 50]"
4,139,27.560219543703514,40.02509534837857,16.184781747809463,7.696976431149908,0.0,0.0,4.0,"[7, 32, 7, 49, 51, 50, 51, 33]"
